fec_name,office,website
PatrickAHope,House,https://hopeforvirginia.org
AdeleYMcClure,House,https://AdeleforVa.com
AlfonsoHLopez,House,https://www.alfonsolopez.org
CharnieleLHerring,House,https://charnieleherring.com
ElizabethBBennett-Parker,House,https://www.elizabethfordelegate.com
RichardCRipSullivanJr,House,https://ripsullivan.com
KarenAKeys-Gamarra,House,https://karenkeysgamarra.com
KarrieKDelaney,House,https://www.karriedelaney.com
NhanCHuynh,House,https://huynhforvirginia.com
DanIHelmer,House,https://www.danhelmer.com
JamesAThomasJr,House,https://www.thomasforvirginia.com
DavidLBulova,House,https://www.davidbulova.com
AlmiraMohammed,House,https://www.almiraforvirginia.com
HollyMSeibold,House,https://www.hollyseibold.com
MarcusBSimon,House,https://www.marcussimon.com
DaveACranceJr,House,https://www.dave4va.com
VivianEWatts,House,https://vivianwatts.com
MarcusTEvans,House,https://marcusforva15.com
PaulEKrizek,House,https://www.paulkrizek.com
MarkDSickles,House,https://marksickles.com
KathyKLTran,House,https://www.kathyfordelegate.com
RoziaAJRHensonJr,House,https://www.Henson4VA.com
Michelle-AnnELopesMaldonado,House,https://michelle4va.com
JoshEThomas,House,https://jetforva.com
JohnTStirrup,House,https://stirrupfordelegate.com
TravisSNembhard,House,https://nembhardforvirginia.com
IanTravisLovejoy,House,https://votelovejoy.com
JamesVTully,House,https://tullyforvirginia.com
LukeETorian,House,https://www.delegatetorian.com
BrianaDSewell,House,https://sewellfordelegate.com
KannanSrinivasan,House,https://kannanfordelegate.com
AtoosaRReaser,House,https://atoosareaser.com
FernandoJMartyMartinez,House,https://martyfordelegate.com
RobertLRobBanseJr,House,https://robbanse.com
GearyMHiggins,House,https://www.gearyhiggins.com
DeloresROates,House,https://www.deloresfordelegate.com
MadelynMadyRodriguez,House,https://www.madyforvirginia.com
WilliamDBillWiley,House,https://electbillwiley.com
CToddGilbert,House,https://delegatetoddgilbert.com
ChrisSRunion,House,https://chrisrunion.com
RandallKWolf,House,https://wolf4delegate.com
EllenHCampbell,House,https://www.campbellfordelegate.com
SSamRasoul,House,https://sam4va.com
WilliamPDavis,House,https://davisfordelegate.com
JosephPJoeMcNamara,House,https://joeforva.com
LillianVFranklin,House,https://lilyfordelegate.com
JChristianChrisObenshain,House,https://www.obenshainfordelegate.com
JasonSBallard,House,https://ballardfordelegate.com
TerryGKilgore,House,https://delegatekilgore.com
WrenMWilliams,House,https://wrenwilliamsva.com
LesRAdams,House,https://lesadams.org
CMattFariss,House,https://www.mattfariss.com
JenniferKWoofter,House,https://www.jenniferwoofterfordelegate.com
WendellSWalker,House,https://www.wendellwalker.org
KatrinaECallsen,House,https://katrinacallsen.com
AmyJLaufer,House,https://lauferfordelegate.com
SteveDHarvey,House,https://steveharveyvirginia.com
DavidLOwen,House,https://votedavidowen.com
RodneyTWillett,House,https://www.rodwillett.com
LRileyShaia,House,https://rileyfordelegate.com
RachelALevy,House,https://rachelfordelegate.org
HFBuddyFowlerJr,House,https://www.buddyfowler.com
ScottAWyatt,House,https://votescottwyatt.com
MichaelJWebert,House,https://michael-webert.com
SaraHRatcliffe,House,https://saraforva.com
NickJFreitas,House,https://nickforva.com
PhillipAPhilScott,House,https://www.philscottva.com
LeonardBLacey,House,https://laceyfordelegate.org
JoshuaGCole,House,https://www.jgcole.org
LeePetersIII,House,https://petersforvirginia.com
RobertDBobbyOrrockSr,House,https://bobbyorrock.net
MattJWaters,House,https://www.mattwaters.com
AmandaEBatten,House,https://www.amandabatten.com
RLeeWareJr,House,https://delegateleeware.net
MarkLEarleyJr,House,https://markearleyforva.com
MichaelACherry,House,https://mikecherryforva.com
StephenCMiller-PittsJr,House,https://www.millerpitts4va.com
CarrieEmersonCoyner,House,https://rudycoyner.com
BetsyBCarr,House,https://betsycarr.org
RaeCCousins,House,https://www.raecousins.com
DestinyLLevereBolling,House,https://destinyforvirginia.com
DeloresLMcQuinn,House,https://deloresmcquinn.net
KimberlyPopeAdams,House,https://kimadamsforva.com
KimATaylor,House,https://kimtaylorva.com
HOttoWachsmannJr,House,https://ottowachsmann.com
NadariusEClark,House,https://clarkfordelegate.com
MichaelJDillender,House,https://mikedillenderva.com
MarciaSCiaPrice,House,https://www.PriceforDelegate.com
ACCordoza,House,https://cordozaforvirginia.com
JeionAWard,House,https://jeionward.com
DonLScottJr,House,https://leaderdonscott.com
JeremyDRodden,House,https://www.jeremyrodden.com
JamesAJayLeftwichJr,House,https://www.jayleftwich.com
CECliffHayesJr,House,https://cliffhayes.com
BonitaGraceAnthony,House,https://www.bonitaforva.com
JackieHopeGlass,House,https://delegatejackieglass.com
JohnSitkaIII,House,https://sitkafordelegate.com
PhilMHernandez,House,https://www.philforvirginia.com
AndrewBAndyPittman,House,https://andyfornorfolk.com
AlexQAskew,House,https://alexaskew.com
